term,raw_count_domain,category,bert_token_count,bert_tokens,llama4_token_count,llama4_tokens,gemma4_token_count,gemma4_tokens,openai_token_count,openai_tokens,mistral_token_count,mistral_tokens
airworthiness,3,1,3,air | ##worth | ##iness,2,air | worthiness,2,air | worthiness,2,air | worthiness,3,air | worth | iness
skydrol,1,1,3,sky | ##dro | ##l,3,sk | yd | rol,3,sk | yd | rol,3,sk | yd | rol,3,sk | yd | rol
combustor,60,1,3,comb | ##ust | ##or,3,comb | ust | or,3,comb | ust | or,3,comb | ust | or,3,comb | ust | or
airfoil,44,1,2,air | ##foil,2,air | foil,2,air | foil,2,air | foil,3,air | fo | il
alodine,6,1,3,al | ##od | ##ine,3,al | od | ine,3,al | od | ine,3,al | od | ine,3,al | od | ine
aircraft,1357,1,1,aircraft,2,air | craft,1,aircraft,2,air | craft,2,air | craft
skydroll,2,1,3,sky | ##dro | ##ll,3,sk | yd | roll,3,sk | yd | roll,3,sk | yd | roll,3,sk | yd | roll
fadac,2,1,3,fa | ##da | ##c,2,fad | ac,2,fad | ac,2,fad | ac,3,f | ad | ac
birdstrike,2,1,3,birds | ##tri | ##ke,2,bird | strike,2,bird | strike,2,bird | strike,3,bird | st | rike
hangar,5,1,1,hangar,2,hang | ar,2,hang | ar,2,hang | ar,2,hang | ar
boeing,6,1,1,boeing,2,bo | eing,2,bo | eing,2,bo | eing,2,bo | eing
abradableseal,1,1,4,ab | ##rada | ##bles | ##eal,5,ab | rad | ables | e | al,4,ab | rad | ables | eal,5,abr | ad | ables | e | al,5,ab | rad | abl | ese | al
lokwire,1,1,2,lok | ##wire,2,lok | wire,2,lok | wire,2,lok | wire,2,lok | wire
borescopeinspection,1,1,5,bore | ##scope | ##ins | ##pe | ##ction,4,b | ores | cope | inspection,4,bo | res | cope | inspection,4,bo | res | cope | inspection,5,b | ores | cope | ins | pection
aerodrome,3,1,1,aerodrome,2,aer | odrome,2,aer | odrome,4,a | er | od | rome,3,a | er | odrome
llp,2,1,2,ll | ##p,2,ll | p,2,ll | p,2,ll | p,2,ll | p
fod,1,1,2,f | ##od,2,f | od,1,fod,1,fod,2,f | od
nacelle,1,1,3,na | ##cel | ##le,2,nac | elle,2,nac | elle,3,n | ac | elle,3,n | ac | elle
spinnercone,17,1,4,spin | ##ner | ##con | ##e,2,spinner | cone,2,spinner | cone,2,spinner | cone,3,sp | inner | cone
fancase,12,1,2,fan | ##case,3,f | anc | ase,3,f | anc | ase,3,f | anc | ase,3,f | anc | ase
aftmount,7,1,2,aft | ##mount,2,aft | mount,2,aft | mount,2,aft | mount,2,aft | mount
aft,228,1,1,aft,1,aft,1,aft,1,aft,1,aft
containmentcase,4,1,2,containment | ##case,3,cont | ainment | case,3,contain | ment | case,3,contain | ment | case,3,cont | ainment | case
abradible,2,1,3,ab | ##rad | ##ible,3,ab | rad | ible,3,ab | rad | ible,3,abr | ad | ible,3,ab | rad | ible
thrustmount,2,1,2,thrust | ##mount,3,th | rust | mount,2,thrust | mount,3,th | rust | mount,3,th | rust | mount
boostervane,2,1,3,booster | ##van | ##e,3,boost | erv | ane,3,boost | erv | ane,3,boost | erv | ane,3,boost | erv | ane
bleedcontrole,2,1,4,bleed | ##con | ##tro | ##le,3,ble | ed | controle,2,bleed | controle,3,ble | ed | controle,4,ble | ed | cont | role
spletter,2,1,3,sp | ##lette | ##r,3,s | plet | ter,3,s | plet | ter,3,s | plet | ter,3,s | plet | ter
bellcrank,2,1,4,bell | ##cr | ##an | ##k,3,bell | cr | ank,3,bell | cr | ank,3,bell | cr | ank,3,bell | c | rank
agbdampener,1,1,5,ag | ##b | ##dam | ##pen | ##er,4,ag | bd | amp | ener,4,ag | bd | amp | ener,4,ag | bd | amp | ener,4,ag | bd | amp | ener
inletcowl,1,1,3,inlet | ##co | ##wl,4,in | let | c | owl,4,in | let | c | owl,4,in | let | c | owl,4,in | let | c | owl
releasecert,1,1,3,release | ##cer | ##t,2,release | cert,2,release | cert,2,release | cert,2,release | cert
nozzlevane,1,1,4,no | ##zzle | ##van | ##e,4,no | zz | lev | ane,4,no | zz | lev | ane,4,no | zz | lev | ane,4,no | zz | lev | ane
chipdetector,1,1,4,chip | ##de | ##tec | ##tor,3,chip | det | ector,2,chip | detector,3,chip | det | ector,3,chip | det | ector
tipshroud,1,1,3,tips | ##hr | ##oud,3,tip | sh | roud,3,tip | sh | roud,3,tip | sh | roud,4,tip | sh | ro | ud
birdcase,11,1,2,bird | ##case,2,bird | case,2,bird | case,2,bird | case,2,bird | case
saftywire,1,1,4,sa | ##ft | ##y | ##wire,4,sa | ft | yw | ire,3,sa | fty | wire,3,sa | fty | wire,4,s | aft | yw | ire
